Timestamp,Age (in years),Major/Degree,Gender,"Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Compensation (pay/salary)]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Work-life balance]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Career progression]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Ease of commute]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Benefits]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Working environment]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Flexibility]","Please rank the below list of attractive features that you would want out of a job, with 1 being the highest priority and 8 being the lowest priority [Variety of tasks]",Please select all the technical skills which you believe you currently possess,Please select all the soft skills which you believe you currently possess
10/17/2022 18:16:56,23,Data Science and Analytics,Male,1,2,5,7,8,4,6,3,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R",Data storytelling
10/17/2022 18:21:36,21,Data Science and Analytics,Female,1,2,7,6,4,3,5,8,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Python, R, Tableau, PowerBI, Microsoft Office, Big Data Analytics","Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:25:16,20,Data Science and Analytics,Female,1,1,1,2,1,2,2,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Python, R, Tableau, PowerBI, Microsoft Office","Teamwork, Data storytelling, Interpersonal skills, Problem-solving, Curiosity"
10/17/2022 18:27:42,21,Data Science and Analytics,Female,1,3,2,2,4,3,4,5,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Machine Learning Operations (MLOps), Python, R, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:30:29,23,Data Science and Analytics,Male,1,3,2,7,4,6,5,8,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Machine Learning Operations (MLOps), Python, R, Tableau, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving"
10/17/2022 18:30:57,23,Data Science and Analytics,Male,4,1,3,7,6,2,5,8,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, PowerBI, Microsoft Office, Big Data Analytics","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:33:14,21,Data Science and Analytics,Female,7,6,8,5,4,3,2,1,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R","Teamwork, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:46:23,20,Data Science and Analytics,Female,6,5,3,1,4,7,8,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R","Presentation skills, Teamwork, Adaptability, Problem-solving, Curiosity"
10/17/2022 18:58:51,24,Data Science and Analytics,Male,1,3,5,4,6,7,8,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Python, R, Tableau, PowerBI","Teamwork, Communication, Data storytelling, Interpersonal skills"
10/17/2022 22:55:36,18,Quantitative Finance (will switch to DSA),Male,1,4,2,8,3,6,7,5,"Data Visualisation/Exploratory Data Analysis, Python, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 22:56:44,23,Data Science and Analytics,Male,4,2,3,5,6,1,7,8,"Data Visualisation/Exploratory Data Analysis, Microsoft Office","Teamwork, Interpersonal skills, Problem-solving, Curiosity"
10/17/2022 22:57:26,24,Business Analytics,Male,1,2,4,5,3,8,6,7,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, Microsoft Office, Big Data Analytics","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Business acumen, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:01:16,19,Applied Mathematics,Male,3,7,5,1,2,4,6,8,"Data Visualisation/Exploratory Data Analysis, Python, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:06:29,20,Data Science and Analytics,Female,1,4,2,8,7,5,3,6,"Data Visualisation/Exploratory Data Analysis, Python, R","Presentation skills, Teamwork, Communication, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:09:39,20,life sciences,Female,1,2,7,4,5,6,3,8,"R, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:10:53,23,Business Analytics,Female,2,1,6,8,7,3,4,5,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, PowerBI, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:11:04,22,Data Science and Analytics,Male,3,3,3,3,3,3,3,3,Deep Learning,Adaptability
10/17/2022 23:18:35,22,Statistics,Male,3,1,2,7,4,5,6,8,"Python, R","Teamwork, Communication, Interpersonal skills, Adaptability, Curiosity"
10/17/2022 23:19:43,23,Data Science and Analytics,Male,1,2,2,5,4,2,3,4,"Machine Learning, Database Management (e.g Azure/SQL), Python, R","Presentation skills, Teamwork, Communication, Interpersonal skills, Problem-solving, Curiosity"
10/17/2022 23:21:43,22,Data Science and Analytics,Male,8,7,7,4,6,6,3,7,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Business acumen, Adaptability, Problem-solving"
10/17/2022 23:31:16,24,Statistics,Male,1,3,2,3,3,3,2,3,"Machine Learning, Cloud Computing (e.g AWS/Google Cloud Platform), Database Management (e.g Azure/SQL), Machine Learning Operations (MLOps), Python, Deep Learning","Adaptability, Problem-solving, Curiosity"
10/17/2022 23:38:45,22,Data Science and Analytics,Male,1,1,3,2,2,1,2,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, PowerBI, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/17/2022 23:58:04,20,Data Science and Analytics,Female,3,4,1,8,2,6,7,5,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, PowerBI, Microsoft Office","Teamwork, Interpersonal skills"
10/17/2022 23:58:36,19,Data Science and Analytics,Female,1,2,6,8,5,3,4,7,R,"Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/18/2022 0:11:55,19,Business Analytics,Female,2,7,1,5,4,3,6,8,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, Microsoft Office","Presentation skills, Teamwork, Adaptability"
10/18/2022 0:18:21,23,Business Analytics,Female,1,2,7,3,4,6,5,8,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Microsoft Office","Problem-solving, Curiosity"
10/18/2022 0:20:50,21,Data Science and Analytics,Male,2,1,3,6,5,4,7,8,R,"Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Curiosity"
10/18/2022 0:22:12,21,Data Science and Analytics,Male,1,2,3,8,6,4,7,5,"Database Management (e.g Azure/SQL), Python, R, Tableau, Microsoft Office","Presentation skills, Teamwork, Communication, Problem-solving, Curiosity"
10/18/2022 0:24:34,24,Pure math,Male,1,2,2,1,2,3,3,4,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Machine Learning Operations (MLOps), Python, R, Tableau, PowerBI, Microsoft Office, Big Data Analytics, Deep Learning",
10/18/2022 0:35:53,21,Data Science and Analytics,Male,7,6,6,6,5,7,6,7,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Python, R, Tableau, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/18/2022 0:37:39,23,Statistics,Male,2,3,1,8,5,4,6,7,"Python, R, Microsoft Office","Presentation skills, Teamwork, Communication, Interpersonal skills, Business acumen"
10/18/2022 1:07:10,20,Data Science and Analytics,Female,1,4,2,8,7,5,6,3,R,"Presentation skills, Teamwork, Communication, Interpersonal skills, Adaptability, Problem-solving, Curiosity"
10/18/2022 1:15:21,22,Data Science and Analytics,Male,6,7,8,1,5,4,3,2,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Cloud Computing (e.g AWS/Google Cloud Platform), Database Management (e.g Azure/SQL), Python, R","Presentation skills, Teamwork, Communication, Problem-solving"
10/18/2022 1:39:03,22,Data Science and Analytics,Male,2,1,8,5,6,3,4,7,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Microsoft Office","Teamwork, Business acumen, Adaptability, Problem-solving, Curiosity"
10/18/2022 7:04:42,20,Data Science and Analytics,Male,1,2,1,2,2,1,1,2,"Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python","Presentation skills, Teamwork, Communication, Interpersonal skills, Problem-solving, Curiosity"
10/18/2022 9:31:00,22,Statistics,Female,1,2,7,3,4,6,5,8,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Microsoft Office","Presentation skills, Teamwork, Communication, Problem-solving"
10/18/2022 10:02:47,22,Data Science and Analytics,Male,3,1,2,4,8,6,7,5,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Tableau, Microsoft Office","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Problem-solving, Curiosity"
10/18/2022 10:13:18,19,Psychology ,Female,4,1,7,3,6,2,5,8,"Python, Microsoft Office",Problem-solving
10/18/2022 10:41:38,23,Data Science and Analytics,Male,8,3,6,1,2,7,4,5,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Cloud Computing (e.g AWS/Google Cloud Platform), Database Management (e.g Azure/SQL), Python, R, PowerBI, Microsoft Office, Big Data Analytics, Deep Learning","Presentation skills, Teamwork, Communication, Adaptability, Problem-solving, Curiosity"
10/18/2022 16:12:07,19,Data Science and Analytics,Female,1,3,7,6,5,2,4,8,Microsoft Office,"Teamwork, Communication, Interpersonal skills"
10/18/2022 16:35:26,19,Data Science and Analytics,Female,2,3,6,7,4,1,5,8,Microsoft Office,"Teamwork, Adaptability, Problem-solving"
10/18/2022 20:14:49,22,Data Science and Analytics,Male,7,6,5,2,3,4,8,1,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, Deep Learning","Teamwork, Data storytelling, Interpersonal skills"
10/20/2022 22:36:08,20,Data Science and Analytics,Female,6,8,7,5,5,7,7,6,"Machine Learning, Data Visualisation/Exploratory Data Analysis, Database Management (e.g Azure/SQL), Python, R, Microsoft Office, Big Data Analytics","Presentation skills, Teamwork, Communication, Data storytelling, Interpersonal skills, Problem-solving"